run_id,split,start_timestamp,end_timestamp,row_count,valid_temperature_rows,missing_15min_intervals_inside_run,source_files,primary_temperature_column,sampling_interval_seconds
t15_20120404,train,2012-04-04T00:00:00,2012-04-04T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120405,train,2012-04-05T00:00:00,2012-04-05T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120406,train,2012-04-06T00:00:00,2012-04-06T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120407,train,2012-04-07T00:00:00,2012-04-07T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120408,train,2012-04-08T00:00:00,2012-04-08T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120409,train,2012-04-09T00:00:00,2012-04-09T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120410,train,2012-04-10T00:00:00,2012-04-10T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120411,train,2012-04-11T00:00:00,2012-04-11T06:30:00,27,27,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120418,train,2012-04-18T00:00:00,2012-04-18T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120419,validation,2012-04-19T00:00:00,2012-04-19T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120420,validation,2012-04-20T00:00:00,2012-04-20T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120421,validation,2012-04-21T00:00:00,2012-04-21T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120422,validation,2012-04-22T00:00:00,2012-04-22T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120423,validation,2012-04-23T00:00:00,2012-04-23T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120424,validation,2012-04-24T00:00:00,2012-04-24T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120425,test,2012-04-25T00:00:00,2012-04-25T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120426,test,2012-04-26T00:00:00,2012-04-26T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120427,test,2012-04-27T00:00:00,2012-04-27T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120428,test,2012-04-28T00:00:00,2012-04-28T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120429,test,2012-04-29T00:00:00,2012-04-29T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120430,test,2012-04-30T00:00:00,2012-04-30T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120501,test,2012-05-01T00:00:00,2012-05-01T23:45:00,96,96,0,NEW-DATA-2.T15.txt,temperature_dining_c,900
t15_20120502,test,2012-05-02T00:00:00,2012-05-02T07:30:00,29,29,2,NEW-DATA-2.T15.txt,temperature_dining_c,900
