run_id,source_dataset,group_id,split,row_count,start_timestamp,end_timestamp
EXT_INTEL_LAB_14_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_15_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_17_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_18_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_19_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_1_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_20_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_21_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_22_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_23_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_27_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_29_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_2_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_30_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_31_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_32_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_33_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_34_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_35_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_36_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_37_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_38_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_39_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_3_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_40_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_41_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_43_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_45_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_46_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_47_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_48_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_4_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_51_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_52_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_53_002_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,1,1970-01-01 00:45:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_6_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_7_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_8_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_9_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_UCI_ROOM_OCCUPANCY_S1_Temp_001_UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY_SESSION_2017,train,12,2017-12-22 11:15:00+00:00,2017-12-22 12:10:00+00:00
EXT_UCI_ROOM_OCCUPANCY_S1_Temp_002_UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY_SESSION_2017,train,438,2017-12-22 13:35:00+00:00,2017-12-24 02:00:00+00:00
EXT_UCI_ROOM_OCCUPANCY_S2_Temp_001_UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY_SESSION_2017,train,12,2017-12-22 11:15:00+00:00,2017-12-22 12:10:00+00:00
EXT_UCI_ROOM_OCCUPANCY_S2_Temp_002_UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY_SESSION_2017,train,438,2017-12-22 13:35:00+00:00,2017-12-24 02:00:00+00:00
EXT_UCI_ROOM_OCCUPANCY_S3_Temp_001_UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY_SESSION_2017,train,12,2017-12-22 11:15:00+00:00,2017-12-22 12:10:00+00:00
EXT_UCI_ROOM_OCCUPANCY_S3_Temp_002_UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY_SESSION_2017,train,438,2017-12-22 13:35:00+00:00,2017-12-24 02:00:00+00:00
EXT_UCI_ROOM_OCCUPANCY_S4_Temp_001_UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY_SESSION_2017,train,12,2017-12-22 11:15:00+00:00,2017-12-22 12:10:00+00:00
EXT_UCI_ROOM_OCCUPANCY_S4_Temp_002_UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY,UCI_ROOM_OCCUPANCY_SESSION_2017,train,438,2017-12-22 13:35:00+00:00,2017-12-24 02:00:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2023,validation,393,2023-03-04 09:40:00+00:00,2023-03-06 03:20:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_002_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2023,validation,1,2023-03-06 04:40:00+00:00,2023-03-06 04:40:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_003_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2023,validation,157,2023-03-06 05:55:00+00:00,2023-03-06 23:45:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_004_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2023,validation,88,2023-03-07 01:05:00+00:00,2023-03-07 13:35:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_005_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2023,validation,16,2023-03-07 15:00:00+00:00,2023-03-07 16:50:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_007_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2023,validation,95,2023-03-11 16:00:00+00:00,2023-03-11 23:50:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2024,test,315,2024-01-01 00:30:00+00:00,2024-01-02 13:50:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_002_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2024,test,135,2024-01-02 15:10:00+00:00,2024-01-03 05:15:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_003_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2024,test,300,2024-01-03 06:30:00+00:00,2024-01-04 10:40:00+00:00
